"n","rep","method","auprc_ratio","epr","dir_acc","f1","precision","recall","fisher_or","fisher_p","TP","FP","FN","TN","n_predicted","n_directed","n_true_pairs","prevalence","wall_clock_s","n_pruned","n_pairs_total","prune_pct"
16384,5,"ASCEND-PC",2.00040318108697,2.375,0.4,0.357142857142857,0.625,0.25,17.9231397182514,0.000359501400265603,5,3,15,167,8,8,20,0.105263157894737,41.9219999999623,150,190,78.9473684210526
16384,5,"Plain PC (X)",1.8223312436831,2.375,0,0.439024390243902,0.428571428571429,0.45,10.5215868826294,3.36752230034412e-05,9,12,11,158,21,21,20,0.105263157894737,9.20600000000559,NA,NA,NA
16384,5,"Plain PC (Z+X)",3.69069166917164,3.325,0,0.684210526315789,0.722222222222222,0.65,57.3540200915413,1.23883542601516e-11,13,5,7,165,18,18,20,0.105263157894737,5.30200000002515,NA,NA,NA
16384,6,"ASCEND-PC",1.06370939603823,1.06875,0.833333333333333,0.226415094339623,0.461538461538462,0.15,3.57352514737394,0.0326046613494962,6,7,34,143,13,12,40,0.210526315789474,95.2729999999865,113,190,59.4736842105263
16384,6,"Plain PC (X)",0.981740911223519,1.06875,0,0.131147540983607,0.19047619047619,0.1,0.869904657929125,0.687124324432697,4,17,36,133,21,20,40,0.210526315789474,28.8940000000293,NA,NA,NA
16384,6,"Plain PC (Z+X)",1.81637605834846,1.6625,0,0.56140350877193,0.941176470588235,0.4,95.7752119194741,1.29125127061858e-11,16,1,24,149,17,17,40,0.210526315789474,8.5800000000163,NA,NA,NA
16384,7,"ASCEND-PC",2.0541956387813,1.52,0.666666666666667,0.428571428571429,0.529411764705882,0.36,10.7846739865606,3.452808175087e-05,9,8,16,157,17,17,25,0.131578947368421,61.1129999999539,137,190,72.1052631578947
16384,7,"Plain PC (X)",0.985262817306824,1.216,0.125,0.285714285714286,0.258064516129032,0.32,2.88463222470356,0.0294056095128317,8,23,17,142,31,29,25,0.131578947368421,45.3369999999995,NA,NA,NA
16384,7,"Plain PC (Z+X)",1.40730711511519,1.52,0,0.484848484848485,1,0.32,Inf,2.98132085023288e-08,8,0,17,165,8,8,25,0.131578947368421,5.42300000000978,NA,NA,NA
16384,8,"ASCEND-PC",1.55443868264107,1.52646502835539,0.846153846153846,0.412698412698413,0.764705882352941,0.282608695652174,13.525325783624,2.53804703520679e-06,13,4,33,140,17,17,46,0.242105263157895,86.6719999999623,122,190,64.2105263157895
16384,8,"Plain PC (X)",1.09287901182173,1.25708884688091,0.222222222222222,0.243243243243243,0.321428571428571,0.195652173913043,1.59599245114618,0.202769199810949,9,19,37,125,28,27,46,0.242105263157895,30.76800000004,NA,NA,NA
16384,8,"Plain PC (Z+X)",1.54657882621915,1.61625708884688,0,0.440677966101695,1,0.282608695652174,Inf,2.29308449767398e-09,13,0,33,144,13,13,46,0.242105263157895,8.51400000002468,NA,NA,NA
16384,9,"ASCEND-PC",1.73529721770996,0.593132154006243,0.75,0.222222222222222,0.8,0.129032258064516,22.7708533703134,0.0026435223721305,4,1,27,158,5,4,31,0.163157894736842,57.9809999999707,153,190,80.5263157894737
16384,9,"Plain PC (X)",1.13282127122371,0.593132154006243,0.333333333333333,0.107142857142857,0.12,0.0967741935483871,0.668508153212122,0.818265330718753,3,22,28,137,25,22,31,0.163157894736842,47.0389999999898,NA,NA,NA
16384,9,"Plain PC (Z+X)",1.50422143389074,0.593132154006243,0,0.256410256410256,0.625,0.161290322580645,9.80247073545542,0.00334543415146053,5,3,26,156,8,6,31,0.163157894736842,5.1359999999986,NA,NA,NA
