"ensembl_gene_id","S001","S002","S003","S004","S005","S006","S007","S008","S009","S010","S011","S012","S013","S014","S015","S016","S017","S018","S019","S020","S021","S022","S023","S024","S025","S026","S027","S028","S029","S030","S031","S032","S033","S034","S035","S036","S037","S038","S039","S040","S041","S042","S043","S044","S045","S046","S047","S048","S049","S050"
"ENSRNOG00000000127",-2.0315078638531,-1.23739149656034,-0.308906166685683,0.23386188656421,-0.141609896706741,1.18633508283475,0.668586090867948,1.05043908759962,0.507845841629354,-1.12852341613358,-1.16208564086851,0.67473195221344,0.399761495792085,-0.0990605420519755,-0.853703246147804,1.29253548795161,-0.41892645289555,-1.17277142254549,-0.1429683411627,-0.205415948790428,2.12628458982269,-0.721843259103787,-0.182215963651818,-0.279806444866405,-0.814003219137515,0.376770917679781,-0.369435704658713,-0.462374629211657,-0.543409538481592,0.328107839476244,-0.979998443104092,-1.60258034293701,0.227956993897395,-0.386203138979085,1.10372493864931,0.339106735546812,0.76331198876513,2.73254199953041,0.845971791260104,0.587700421294872,-0.0253836841044894,1.02490361342935,-1.09035327517872,-0.406914694471762,2.12696060716787,0.355169786793694,1.07243078680765,-1.29189117129424,-0.948543777513479,-1.0172122144781
"ENSRNOG00000000130",0.451246243873494,-0.74185709614291,-0.415997296537098,-0.539992965150819,-0.797727998970362,0.0145031325900149,-0.415997296537098,-0.18085968428823,-0.981096921599031,-1.11876799779247,-1.00668807236772,-0.483924641355018,-1.20518229613728,0.667952698356956,0.0622953758780425,0.582637258002659,0.693878266468699,-0.881911931598539,0.478230052906801,-0.44448302155562,-0.950817149077899,2.24114275446431,-0.29929986384404,2.45009967827722,0.667952698356956,-0.29929986384404,0.368019497131848,-0.11027276317555,0.866445919722987,1.65584797500259,1.59574434848323,-0.29929986384404,3.187001650804,-0.38946466823527,0.68182183017387,-0.500675456997295,-0.29929986384404,0.504851649596811,-0.13040778892093,0.44736126813429,-0.11027276317555,-0.415997296537098,-2.22992910095029,-1.39682109851129,0.408087120718148,-0.0846816612787274,0.632849517137619,-0.539992965150819,-0.380261476293736,-1.00668807236772
"ENSRNOG00000000138",0.208174421659047,0.454237569380681,0.00649478387788854,-1.69855729714818,0.588501353570137,0.474840439301409,1.40750898928878,-0.307181195354741,0.889945054991855,0.100496122376031,0.38556440913885,-0.0962266890886905,-0.978212647477578,-1.2772087026247,-0.0743247166409019,1.82315551621352,-1.19929031565639,-1.58889062872957,0.107203432170988,1.31144204661236,0.232403750096729,0.722680173700927,-0.886408280100854,1.6477730247703,-0.251974665957402,0.292554626912082,-0.273413300174203,-1.32668251714953,-1.82438945164754,-1.09900342641952,-0.915580048585994,-1.20148201060033,0.729436147200412,-0.310976164067273,-0.465228652753675,0.288023471591872,2.11093479560508,0.406040412037018,0.278335456814833,0.76109455068314,-0.329837080661421,-0.387190419754502,-0.0411508721424055,1.11172409579992,1.58834565828642,-0.0120645685941274,0.694076072110459,0.972360138463469,-2.38113095180005,-0.666941909524618
"ENSRNOG00000000151",-0.361608458301208,NA,NA,-0.779523211205136,0.404375388875462,NA,NA,-0.852768257941232,NA,-0.938830766874489,NA,NA,1.0864178304186,NA,-0.0557519886989196,NA,NA,0.61911803263823,-0.235290595620834,NA,1.51413935913692,0.771780040814527,-0.852768257941232,NA,0.0294207224921356,NA,0.771780040814527,NA,-1.0803426698411,0.363230210692203,NA,NA,NA,2.04085153966519,-0.561539541159365,-0.741771727373358,NA,NA,0.118749813847501,-2.65526683708536,NA,0.489548113276313,-0.419369800538457,NA,0.946281871894107,NA,NA,-0.779523211205136,1.1586623592201,NA
"ENSRNOG00000000164",-0.514942491821409,-0.159948771199243,-0.00744201698618478,-0.27348001877016,0.295534629849163,0.269567230197377,-0.370548814455026,-0.251703647474704,-0.399226981795044,-0.370548814455026,-0.136669475129603,-0.27348001877016,-0.0751513310405641,0.0489244343434572,-0.445841290862655,-0.582652306884165,-0.332309786213855,0.0219168872931938,-0.406099260166098,-0.136669475129603,-0.198187702072258,-0.114893158663865,-0.481391759380531,-0.0396010899645791,-0.507359757369744,-0.384322854348085,-0.00744201698618478,-0.328316639634062,-0.114893158663865,-0.241320780152801,-0.159948771199243,-0.0751513310405641,-0.393828191664774,-0.0751513310405641,-0.384322854348085,-0.370548814455026,-0.284918969340461,-0.27348001877016,-0.30903042480371,-0.260246296476544,-0.211961709723472,-0.368822892047048,-0.601938563064484,3.84507609208037,-0.098430593904516,-0.523303707230055,3.84507609208037,3.84507609208037,-0.316613145622423,-0.30903042480371
"ENSRNOG00000000175",0.132813332493913,-1.17837497500535,-0.12210783313733,1.21076246131145,-0.266815159935839,-1.31182733406826,0.195091144885525,-0.676529055621528,-0.196032021885146,-0.417385226076071,0.05205657596343,-0.500250287468159,1.25472625948437,-0.192296050610027,0.749594363795587,1.16281464828863,-1.31512116121592,1.74855735611679,-0.902941516860234,0.730620058707367,-0.962359971421786,-0.343146690913942,-1.58345923327373,-0.876101884475887,-0.720803198968882,-0.500250287468159,0.170565181548392,-1.00420634700197,-1.75393148215518,-1.27164523261402,-1.16386959417922,0.812212337169542,2.79169209660858,0.490258030606729,1.05931021097918,-0.409821303939375,-0.063529921014411,2.17019123166184,0.545847844282607,0.417215171624742,-0.546523021642473,0.384163590405398,0.192442309521382,-0.554528681639818,0.0287119097310824,-0.273837927367792,0.653988311004747,2.2483827520029,-0.0307918572192844,-0.063529921014411
"ENSRNOG00000000230",0.975866851914027,-1.1727099006836,-1.42305382705293,-1.08636874039809,-0.775347943074338,-1.24960746842052,-0.489357934972661,0.508620936635493,-0.654759026353688,-0.201504799851597,-0.227988325891745,0.174336134280419,-0.293705921134704,5.32266092970809,0.666892066900223,-0.771093248746201,0.821379459407125,-0.12830480211763,-0.0731914512167201,-0.194286891947853,0.712419827073699,-0.489357934972661,-0.589041442582515,0.0103279274210381,-0.718457131945188,-0.142989548121132,0.545506890686837,0.761319509404178,0.762821166586742,1.02083690465306,-0.514956101719843,0.426429708462537,-0.718952261143122,-0.628539997703987,0.168574238311235,0.370804149743871,-0.555340014269174,0.633902652537797,0.335044529680808,-0.12830480211763,0.369558624787857,0.298730475095076,0.0332909489592969,-0.925418929439967,0.914459643070197,0.351366613948395,-0.16519075035994,-0.221632258933726,-1.04051260893123,-0.605176125165612
"ENSRNOG00000000244",-2.62247246750065,0.607160966757967,0.781459984088719,0.0400529064449638,0.347126939849994,0.39616589866809,0.928889968817612,-0.417199944327938,-0.187426212512726,0.743118279686736,-1.30109172857702,0.723378306059215,0.32828167367693,-0.0507082645974455,-0.0989820782783274,-0.497229317565991,0.950888658880654,0.759957273117537,1.32148303097004,0.317279938112422,0.688900598098152,1.41767814196986,0.296468256794165,0.93676678156285,-0.275420779886808,-2.10016750264228,-1.24388623978414,-0.510817768280318,0.613896322398701,-1.23349549049145,-1.19787152689973,-2.1289762861772,0.271483283181108,0.2526572932349,-0.724273892308058,0.587349763020325,-0.361353384960351,0.859404372946069,1.69538149244822,1.57819378200131,0.762577891214444,1.0158521502956,-0.597337275500583,-1.17524173685236,0.66796339997018,0.598283721473503,-0.982072728710937,-1.00573703880736,-1.50740704844507,-0.268932362633526
"ENSRNOG00000000245",0.445837119049561,-0.406602620151251,-0.0536291816259488,2.37149672875701e-05,NA,-0.691578291905874,0.152846106832318,NA,NA,-0.423030949577304,-0.278624841039491,-0.352949474601864,-0.308640352705968,NA,-0.219344823979169,-0.241585611876678,-0.0536291816259488,2.37149672875701e-05,0.171365579681476,NA,NA,-0.248122713024375,-0.524292622569223,NA,0.0328887375573582,NA,-0.129775540389258,0.255033398234815,0.0213931930225271,2.37149672875701e-05,-0.113608076377792,0.0711948152417059,0.0711948152417059,-0.328103878375599,0.171365579681476,-0.0147376474542057,NA,-0.406602620151251,NA,0.280123584850946,-0.129775540389258,-0.691578291905874,-0.157917092955836,NA,-0.275775178456719,-0.691578291905874,5.86283017810427,-0.352949474601864,-0.113608076377792,-0.328103878375599
"ENSRNOG00000000246",NA,-1.30840676899268,0.262614250725342,-0.501643683670106,0.422846226229784,NA,1.09267735651293,NA,1.03259778968401,0.422846226229784,-1.72358038607423,-0.608261885838037,NA,NA,NA,NA,NA,NA,0.838019461896739,NA,NA,-1.27809383032204,NA,0.838019461896739,1.09267735651293,-0.976897005148056,-1.67546023027595,0.0457611231665183,NA,NA,0.168188095613556,NA,NA,-0.561723349925005,NA,-0.380499783198824,2.11533248944603,-0.501643683670106,NA,1.26082294115939,NA,-0.688863666470542,1.31327195737425,NA,0.230535419119119,NA,-0.976897005148056,0.0457611231665183,NA,NA
