method,n,d_x,d_z,seed,status,time_sec,mem_mb,n_ci_tests,n_l0_calls,precision,recall_resolved,recall_overall,f1,accuracy,coverage,tp,fp,fn,tn,unresolved_frac,shd_full,shd_resolved,n_resolved,error_msg
ascend,1024,5,50,105,ok,0.26299999999901,40,10,,,0,0,,0.7,1,0,0,3,7,0,3,3,10,
cbl,1024,5,50,101,ok,61.848,244,202000,4000,,0,0,,0.555555555555556,0.9,0,0,4,5,0.1,4,4,9,
cbl,1024,5,50,102,timeout,6940.146,10883,161447,3197,,,,,,,,,,,,,,,"task 27 failed - ""reached elapsed time limit"" [cpu=3600s, elapsed=3600s]"
cbl,1024,5,50,103,ok,63.484999999997,78,202000,4000,,0,0,,0.666666666666667,0.9,0,0,3,6,0.1,4,3,9,
cbl,1024,5,50,104,ok,73.8280000000014,86,202000,4000,,0,0,,0.6,1,0,0,4,6,0,4,4,10,
cbl,1024,5,50,105,ok,49.0339999999997,78,202000,4000,,0,0,,0.666666666666667,0.9,0,0,3,6,0.1,3,3,9,
ascend,1024,10,10,101,ok,2.58699999999953,5,821,,0.888888888888889,0.685714285714286,0.685714285714286,0.774193548387097,0.688888888888889,1,24,3,11,7,0,10,10,45,
ascend,1024,10,10,102,ok,1.68999999999869,137,595,,1,0.5,0.411764705882353,0.666666666666667,0.833333333333333,0.933333333333333,7,0,7,28,0.0666666666666667,10,10,45,
ascend,1024,10,10,103,ok,1.98899999999776,149,698,,1,0.523809523809524,0.523809523809524,0.6875,0.777777777777778,1,11,0,10,24,0,9,9,45,
ascend,1024,10,10,104,ok,1.30999999999767,146,458,,1,0.307692307692308,0.307692307692308,0.470588235294118,0.6,1,8,0,18,19,0,16,16,45,
ascend,1024,10,10,105,ok,2.3550000000032,158,815,,0.814814814814815,0.88,0.88,0.846153846153846,0.822222222222222,1,22,5,3,15,0,7,7,45,
cbl,1024,10,10,101,ok,80.3539999999994,524930,203400,18800,0.909090909090909,0.454545454545455,0.285714285714286,0.606060606060606,0.59375,0.711111111111111,10,1,12,9,0.288888888888889,4,4,45,
cbl,1024,10,10,102,ok,74.1660000000011,177,189000,18000,0,0,0,,0.689655172413793,0.644444444444445,0,1,8,20,0.355555555555556,12,5,31,
cbl,1024,10,10,103,ok,74.635000000002,500,193600,18400,1,0.125,0.0476190476190476,0.222222222222222,0.766666666666667,0.666666666666667,1,0,7,22,0.333333333333333,14,4,33,
cbl,1024,10,10,104,ok,74.9880000000012,476,189000,18000,,0,0,,0.545454545454545,0.733333333333333,0,0,15,18,0.266666666666667,24,13,33,
cbl,1024,10,10,105,ok,79.268,412,199200,18400,0.166666666666667,0.111111111111111,0.04,0.133333333333333,0.535714285714286,0.622222222222222,1,5,8,14,0.377777777777778,18,12,39,
ascend,1024,15,10,101,ok,9.72400000000198,121,3497,,0.790322580645161,0.628205128205128,0.6125,0.7,0.592233009708738,0.980952380952381,49,13,29,12,0.0190476190476191,26,26,105,
ascend,1024,15,10,102,ok,6.87099999999919,289,2323,,0.829787234042553,0.513157894736842,0.513157894736842,0.634146341463415,0.567307692307692,0.990476190476191,39,8,37,20,0.00952380952380953,34,34,105,
ascend,1024,15,10,103,ok,6.83600000000297,271,2324,,0.907692307692308,0.670454545454545,0.670454545454545,0.771241830065359,0.666666666666667,1,59,6,29,11,0,17,17,105,
ascend,1024,15,10,104,ok,7.32200000000012,268,2514,,0.916666666666667,0.774647887323944,0.763888888888889,0.83969465648855,0.798076923076923,0.990476190476191,55,5,16,28,0.00952380952380953,23,23,105,
ascend,1024,15,10,105,ok,6.14099999999962,274,2158,,0.817073170731707,0.817073170731707,0.817073170731707,0.817073170731707,0.714285714285714,1,67,15,15,8,0,27,27,105,
cbl,1024,15,10,101,ok,216.124,780,516800,48000,0.833333333333333,0.32258064516129,0.125,0.465116279069767,0.465116279069768,0.40952380952381,10,2,21,10,0.590476190476191,55,17,57,
cbl,1024,15,10,102,ok,198.900000000001,609,475000,43600,0.486486486486487,0.409090909090909,0.236842105263158,0.444444444444445,0.366197183098592,0.676190476190476,18,19,26,8,0.323809523809524,37,27,93,
